頻道名稱,頻道ID,傳送門,頻道加入時間,影片數,觀看次數,訂閱數,所屬
Merak Channel 天璇,UCwFJl-hZLLkU--VPf5pSZAw,https://www.youtube.com/@merak0325,2020-05-10,264,254572,3510,
夏雪貓姬 Nekohime Ch.,UCMATEDVf2xE4h_-jFUAfYyg,https://www.youtube.com/@nekohimetwvt,2011-09-01,159,4207,344,
阿維薩-瑪儂 Aveza-Manon Ch.,UCiDLif31Tc6QUyvLhZ2hJUw,https://www.youtube.com/@aveza-manon_ch.,2022-09-24,9,126,8,
[ 帕克 / C7 ] 马来西亚vtuber,UC1OuzeUYOSwF9rNBpUJVD2g,https://www.youtube.com/@pakec77,2021-05-26,57,4390,183,
噗伊噗伊puipui Ch.,UC5CA_VCFPwlU3w7JnV2ZWFQ,https://www.youtube.com/@puipuich.3500,2021-06-09,31,801,64,
Mishizu Ch. 林美靜,UCn_nbyxe2OKrkdutInVbLWg,https://www.youtube.com/@mishizuch,2021-04-01,1238,270600,5980,
貝爾‧希普諾絲 Beier Hypnos Ch.,UCcyyMqsbf6yP-5dQCdsWJ0g,https://www.youtube.com/@beierhypnos_vtuber,2022-11-04,23,3477,372,
路斯吱 - HKVtuber,UCTy-zldx3oI-BZZRWUXsW8g,https://www.youtube.com/@hkv_rovszi,2022-01-28,144,7913,288,
Mal Morningstar,UChUi326Pybx9z0nn0iH7trA,https://www.youtube.com/@mal_morningstar,2020-12-27,83,7273,312,
Kuramiyo Ch. 【IVC】,UCc1LOvCgjKUvEedOb2nq3HA,https://www.youtube.com/@kuramiyopan,2020-05-16,96,5593,243,
Yohan Ch. 狐火ヨハン,UCqipoCR5ivd9bfiv7F5OrQw,https://www.youtube.com/@yohanch.2774,2020-12-15,28,14756,972,
梅里 Meri ch.【梅錢買米】,UCAAfYk0AI7I0Kk5pLoopNSw,https://www.youtube.com/@merihat_0125,2022-11-14,26,2810,230,梅錢買米
Hana Ch.葉奈ちゃん,UCYwIou8tS4N10gODwWcxVvA,https://www.youtube.com/@hanach.0725,2021-04-09,2,490,52,
MitsuΛki Not Safe,UCJtDtV3mBzkd61blOr9Pofg,https://www.youtube.com/@test___mitsuaki,2020-03-13,6,1895,54,E.M project
[Vtuber] Zeta Ch,UCqFeuxwMSGCBS5s4gPjuGgQ,https://www.youtube.com/@vtzetachannel,2021-01-25,4,258,400,
Elina ch.海月えりな,UCofu6HsK6tZ76nEiW864Ubg,https://www.youtube.com/@elinach.8293,2020-10-27,11,5408,606,AsteriaLive
歐爾特芬里斯 ch.,UCDWua07cGku90lfwMtOIJqQ,https://www.youtube.com/@ch.3409,2021-07-31,425,18614,326,
Rieri 狸野梨,UC_FIgu8Ltm598fTUocNwc4g,https://www.youtube.com/@rieritw,2014-08-31,264,127285,2480,
萊露琳Lalune,UC4ffyzHZdC_9wfGzifSb2iQ,https://www.youtube.com/@lalune7142,2017-06-03,40,9212,1120,萌元氣
南琳 Ch. Minami Rin,UCHMCwtilDcB7Cc30D3KrqvA,https://www.youtube.com/@minamirin,2012-11-18,400,58685,3330,
伽 Ikaro Ch. 【勞工花枝LGHZ】,UC7nddGD4_8wjat95gFSOovA,https://www.youtube.com/@lghz_ikaro,2021-07-24,126,12656,442,
南心詠,UCSBG5KBsczK0mqDxGzZGJFg,https://www.youtube.com/@user-so2hb9fn2g,2019-12-24,92,45279,1850,Blossom Live
羽煙 - yvinn -,UCuK29kvvuSprkYfMYULmSGQ,https://www.youtube.com/@yvinn,2021-12-25,19,8247,140,
天羽幻黃 Amo Genou ch. [HKVtuber],UC_B1fSjO804nXF0qhFUAJSA,https://www.youtube.com/@amo_genou,2014-04-17,58,9885,225,
札末 Zamo ch.,UCRKWjMwIDyZr24O_e0rHlEw,https://www.youtube.com/@zamoch.1373,2021-05-23,166,10187,264,
UniPorn ch. 優尼椪,UCYdreHEwTCcaMQ13hkK_dbw,https://www.youtube.com/@unipornch.5321,2021-01-29,74,48287,1070,Psycho Live
八岐和彌,UC56xRP7H1YDaEZwPGVblm4A,https://www.youtube.com/@yakikazuya_twvtuber,2022-05-24,119,6842,204,
Burububi Ch. 布魯布比,UCYPpnlj3O7l0xnh1Z_X8NEw,https://www.youtube.com/@burububi,2020-11-02,27,5578,404,
發發的斜槓生活日常,UCHnDzmA48A52x5Jd2hTA3tA,https://www.youtube.com/@fafa_vtb,2014-12-05,48,135166,405,雲際線工作室
紙箱頭 BoxHead Ch.,UC4A-PYE4xgYoPoB1W8KzPjA,https://www.youtube.com/@boxheadch,2012-07-22,163,8388,448,
蜜絲緹 MistWander Ch.,UCtRr7jhD4KxCJCJgV_W2yYw,https://www.youtube.com/@mistwander,2022-05-13,46,26884,3230,
學長Senpai Ch.,UCcd0y6K5oCEVxOKcNxqNH9g,https://www.youtube.com/@senpaich.2556,2014-07-28,167,21178,828,
 猫田 ベリ / Nekota Berry,UCLDL7P6zxGfCT8ELUFQmdbw,https://www.youtube.com/@nekotaberry,2021-08-31,106,41785,694,
羽仔ゆざい Ch.,UC3EbIzDPqAFX_Qh6dV_komA,https://www.youtube.com/@okamiyuzai,2017-04-05,385,113514,2610,
神道能,UCnkC-CltIG3iWg4JS9WCj7w,https://www.youtube.com/@unknownno.5527,2021-10-24,34,3982,366,
月上零韻,UC2vNxaa6bkcl58uBAN1GhwA,https://www.youtube.com/@dr1090a,2021-04-28,138,18871,1020,
Touri Ch. 冬凜,UCHPEUcoXmQqqlL1zwV8v_Nw,https://www.youtube.com/@himurotouri,2020-12-20,1,147,196,
【宇智波比】LOnely_Ash,UCLZ3JjS8x6J3q7Kao4fUMcA,https://www.youtube.com/@lonelyash3,2011-07-20,135,128458,437,That Must Golive
ZT,UCRHP0HAuIGYoxJ_X2VYpd0Q,https://www.youtube.com/@zt8617,2013-04-13,181,49811,191,
深空眠 Fluorite 【SODAART】,UCttLL51poPUG5KOvk2pFOHQ,https://www.youtube.com/@virtualfluorite,2021-03-21,256,131256,4960,SODAART
那個獅,UCFPzS5_OW8vM5UE7rTVV-Xg,https://www.youtube.com/@thatlion729,2013-03-06,125,7767,328,
GoC ch.曔,UCCiU3yXWXenEeLocftwPKrw,https://www.youtube.com/@gocch.6568,2021-04-29,16,1272,103,鎮魂鐘
夜明花芽 Haname ch.,UCVHTUWcoRdYcWItFxTh9ipg,https://www.youtube.com/@shinonomehaname,2022-04-28,153,31614,539,古代音楽研究所
KANON ch.張香香,UCRJa1VRDsYwaLlML0PLYcNA,https://www.youtube.com/@kanonch.4510,2020-12-19,38,3970,229,艋舺會社
Migo Ch. 米果,UCz201HxiHn8cE-QU8pIZj_g,https://www.youtube.com/@migovtb,2021-07-18,32,11251,1770,靛之森
Sherlock Ch. 夏洛克,UC0CeHdXwHehA7h4F84AbpiA,https://www.youtube.com/@meo_sherlock,2019-09-08,44,3757,201,
夜痕,UCa9j7AcQk17WkrH-BOs6Jqg,https://www.youtube.com/@martiw123,2009-09-03,210,28106,1470,
梁伴！,UCL9SoY8l_j3v3psmuqTnI7w,https://www.youtube.com/@ryouhann,2022-01-16,44,45465,3010,
玖宵JiuXiao Ch. 【Esperar Live】,UCOncNBlzC2fUmGzWmEuyZVg,https://www.youtube.com/@jiuxiaoch.esperarlive4939,2022-05-30,76,34611,1060,Esperar Live
Sumire Ch. 霄月菫 ,UC_GjJ9a87dxpEB7AsA1bBOg,https://www.youtube.com/@sum1re_,2021-12-27,67,7291,319,
可粒可 Cliick,UCFVh1V9Sja0C-c4sGl_swhA,https://www.youtube.com/@cliick888,2020-08-04,172,104746,2890,狂點軟體開發
柚餓幽窮ch. zike,UC9ymconZOuIj-cuWpEUyjUg,https://www.youtube.com/@yuzike,2021-07-16,320,55760,1660,六月草.studio
kuga ch-久我,UClyG45c__AjBYpIRGCTtjQQ,https://www.youtube.com/@kugach-1070,2015-02-14,1,848,276,
結姬 釉/Yuihime Yuu,UCfR8BoSqjb0gkaLdWR3qC5A,https://www.youtube.com/@yuihimeyuu2265,2021-06-08,35,4661,416,
羽蔚陌凜Ch. MoLinOwO,UCS8_3lt1UQlgFxN8BPf0lmA,https://www.youtube.com/@molinuwu,2017-02-09,54,9807,2350,
玲安 LingAn ch.,UC9ujwVD1HrFu8eZx1G4OC9A,https://www.youtube.com/@linganch.1578,2021-07-05,87,8676,511,
ReLive_薇妮 Winnie,UCrycDv1sYVGH5GK8XBTXABg,https://www.youtube.com/@relive_winnie7684,2021-05-21,435,442667,11300,ReLive Project
多彌歐卡タミオカ Channel,UCW-RP06DvPBijdU450FYjoQ,https://www.youtube.com/@channel-hs5dk,2021-04-18,231,18747,459,
十七夜月 佳奈【香港Vtuber】,UCpWpaKzmuJhSkYe-B-179PA,https://www.youtube.com/@keinakanagi,2020-04-20,55,117321,1380,
夜川庫堤亞 Kuteia ch.,UCsAPT3UUsing_4ZwqWhhsrA,https://www.youtube.com/@kuteiach.649,2021-01-30,388,10366,165,
黎鴞 Ly. fei,UCr-r69SaxidJgQFSpnzOB1g,https://www.youtube.com/@lyfei,2022-02-10,4,102,145,貓麻生產社
早緒 Asahi〔BYO-2126〕,UC58S1qggwkIw62RJSNmJUig,https://www.youtube.com/@asahi_iui,2020-09-07,27,4775,535,波游
Rosie 蘿希♡,UC1Fugt7RgCqpkwFfCyJ5jtA,https://www.youtube.com/@rosie_827,2021-06-27,89,17645,658,SODAART
Dolla朵拉 Ch.,UCYt1gX5dKKuCug9hibApvpw,https://www.youtube.com/@dollach.9076,2021-07-25,111,77608,1610,Eggtart
殞星_coinc-star,UCKmKBGuaPoIajcb4Joj8seg,https://www.youtube.com/@_coinc-star8616,2013-07-17,180,46445,517,
雪櫃 / Reiha Ch.,UCeGG1m0Jnt3pnEzkNo43JnQ,https://www.youtube.com/@reiha_refri,2014-05-14,153,20359,446,
Furu夫顱 ch. 【HKvtuber】,UCmFFKmjfpQQ0iu07QXeQ-Mg,https://www.youtube.com/@furuch.hkvtuber,2016-05-18,52,5616,193,
瑠凜紗紀-RuriSaki【HKVtuber】,UCwwvI-bV0CQ4FwkF-Kg0NBQ,https://www.youtube.com/@-rurisakihkvtuber3100,2021-03-03,122,54909,1470,
Furen Ch. 擁月夫人,UCJ-hQ3FRmdrssXHkip8_oPw,https://www.youtube.com/@furench.4834,2022-04-15,1,180,84,
安森‧薯條 Ch.,UCBpiIyE5V9etsLoLEJTFi7A,https://www.youtube.com/@ch.7203,2014-07-25,235,17490,419,
Ui Saki 兎苺咲 ch.,UCsd6EaK4vzfd49swGXAR-bQ,https://www.youtube.com/@uisaki,2022-12-06,53,13251,680,兔窩
樂媞絲 Lettice Ch.,UCMepETi7bPucuTzIR6u4R0A,https://www.youtube.com/@letticech.9614,2021-09-04,45,2641,185,
外星雞,UCj7anW1nYfsjQ38p0LqliJw,https://www.youtube.com/@aliengee,2011-07-07,35,6649,264,
維亞 VIA Ch.,UC3iCqUVUCghhIPbzXOvoDvQ,https://www.youtube.com/@via.ch1128,2021-06-16,63,6403,526,
茜月しっぽ Akanetsuki_Shippo,UCQP1Ho8YEaWHDmjz1jiNfHA,https://www.youtube.com/@akanetsukishippo,2022-01-31,180,387507,13300,EvilSpina
猫崎幸可Yukika,UCjUrcIJsPlOl8WNkrbMaoaQ,https://www.youtube.com/@yukikadesu222,2022-03-31,15,868,87,2VR_Studio
時天 色彩維度工作室,UC4YN_8NMVvPRox05oLFaCjA,https://www.youtube.com/@times10sky,2022-07-17,267,57510,305,
麥克 Michael o_o Ch. ,UCP6nEbilZ_Gq5j3ysxZHV2g,https://www.youtube.com/@imjerryowo,2021-02-25,335,35284,771,
🌙 社畜蘿莉睡不飽 Ch.,UCbq04n_cvUaxsdZ5LQpHAHw,https://www.youtube.com/@drowsyyyloli,2022-05-12,25,11595,328,
墮天幽魅,UCB2Bq3iamct4YWmk6oQRDLw,https://www.youtube.com/@yuyumirose,2019-10-27,7,6963,1890,MOMOMO團
埃塞爾伯特•伊斯頓 Ethelbert•Easton,UCpV7HKGPhMxxO-lpSjsIeWg,https://www.youtube.com/@ethelberteaston7814,2022-02-07,5,319,20,
甘美KimmyJe,UC6dqyVdrspgU_BZRTk2nsAw,https://www.youtube.com/@kimmyjettv,2019-07-07,33,1881,244,
金金子 Ch.,UCohb9UuR4Y6LTBgrRJSLXZg,https://www.youtube.com/@kinkinko_kvp,2021-03-30,269,50981,1110,
陰陽大殿下 The SM King Ch.,UCHr_jFaElcYIv10iWCOAayQ,https://www.youtube.com/@thesmkingch.7017,2021-09-12,69,8623,1060,第二鈕扣風味社
夏日NatsuAS.ch[香港Vtuber],UCGvZv4eQYqNPovM-TImJOwQ,https://www.youtube.com/@natsuas.chvtuber399,2021-03-28,66,9453,499,
Mori Hotaru Ch. 森 ホタル [HKVtuber],UCYlM7nl3K9WvkoV_K6vdQkQ,https://www.youtube.com/@morihotaruch,2021-06-04,74,10082,378,
桜鈴未,UCdavaNkeuUvrQFmW8dpRY8Q,https://www.youtube.com/@user-uw2mp6ye6j,2022-05-27,26,433,132,秋の月
絨毛白牙 ch. shirokiba,UCZ1_IaYQwObF32N8xzhZarw,https://www.youtube.com/@ch.shirokiba6597,2020-10-30,151,13418,912,
AYA ch. 花丸譚婭,UCSbDnwXOfO7afJqXYMhEJ8w,https://www.youtube.com/@ayayach.1717,2021-04-08,178,27059,1000,
Mashiro Ch. 猫月ましろ,UCldcve6H4H9nSc9zHISKj3w,https://www.youtube.com/@nekotsukimashiro,2022-01-21,67,4230,401,
Zhanxi ch.盞曦,UC6Z7p-C4lUYImqlBuenfv4Q,https://www.youtube.com/@zhanxich.8447,2022-02-21,7,1645,80,
Serlin Channel / 賽琳,UC7DXhIdqZiChlSlPhAs_B0A,https://www.youtube.com/@serlinchannel2479,2021-09-08,198,34070,861,
紫弘 Hiroshi Ch. 【HKVtuber】,UC2a_aNVcew6ljGoiZUckI2g,https://www.youtube.com/@hiroshich.hkvtuber8781,2022-03-14,123,21666,434,
冰月子奈·コナ Ch.【Mystic Project 所屬】,UCY2-hrUEpfZdrT_oTIOIOJQ,https://www.youtube.com/@hyougetsukona,2015-09-19,138,21898,497,Mystic Project
神田なつせ Natsuse Ch.【Vtuber】,UCUNprtj4jU7vbGAikc163eA,https://www.youtube.com/@kandasan,2014-03-11,123,13681,402,
小符亞 Sahua Ch.,UCTtBkCcFPTGqvI8MFzY3MGQ,https://www.youtube.com/@sahuach,2021-02-14,276,37445,1090,
愛吃餅乾的布丁,UCqpLIJxfSbjcUwipEmhboiw,https://www.youtube.com/@yiyala0108,2019-03-22,381,65308,922,
Regi Unifurst Ch. 雷吉 尤尼福斯,UC9OV1f7mHZR93deEJvaCBdw,https://www.youtube.com/@regiuni,2021-11-27,141,16833,1860,
Itsu Reini Ch. 伊津レイニ,UCFxnBtn2Tm3NbluDfP0eIdA,https://www.youtube.com/@itsureinich.2185,2021-06-04,19,1307,162,超異界通信+
白鴿•菲利絲-Felice•Vogel,UCX73aTHHLSU7T-77eCUKMRA,https://www.youtube.com/@-felicevogel,2017-01-21,28,96901,500,
瞳夜 Hitomiya Ch.,UCU7lz-dXUoxVLmRbkRrHRrw,https://www.youtube.com/@hitomiya0518,2022-05-17,36,1859,94,
男小鳥 [填詞人],UCds_Xx3l9d4rxPhbPXDHLdQ,https://www.youtube.com/@otokokotori-lyrics,2012-04-28,1,77,276,
Kamir Ch. 迦米爾,UCt7rMCelu5GFXEf9FIAIliw,https://www.youtube.com/@kamirch.7508,2022-06-29,94,48646,3490,波塔學院
Nuo Ch. 角獣ヌオ,UCAlm-nre4zHlTE11wdSQZtw,https://www.youtube.com/@nuoch.,2021-03-13,249,43737,1300,Neo Land
凌仲【香港VTuber】,UCwFDleRWnE7jXvPvntrwjIQ,https://www.youtube.com/@lingzhongplus,2021-01-11,247,139514,2140,
魯尼Loonie Ch.,UCXXugcZ-_gYo2SRSfVICPIA,https://www.youtube.com/@loonie_1214,2021-12-03,9,3183,276,
藤咲紫夜Fujisaki Shiya,UC_EB4Ax3aVxIjtV4FMukm2Q,https://www.youtube.com/@fujisakishiyayaya,2020-08-01,232,16775,457,异世界公会
白鳥公治 Kimiharu Ch.,UCFePlyKu9vQPoDhnHF8fLhg,https://www.youtube.com/@shiratorikimiharu,2021-10-09,148,13911,407,
Little Channel-莉絲X優桃【香港VTuber】,UCU1kK3Qi1215uDWMvjFphOA,https://www.youtube.com/@littlechannelry,2020-04-04,144,16666,434,
米洛法Milofa,UCsEL2bjfLoXoMK_7A6T0j9Q,https://www.youtube.com/@milofavt,2022-08-10,22,621,16,
丹青鶴白Danqinghebai,UCpTDtPkErwvcFtxaxsiwhUQ,https://www.youtube.com/@hebai1014,2021-02-01,16,1011,250,
歌燐かりん ch. Karin,UCr6Zz5TL7EpRzGssPCe7zGA,https://www.youtube.com/@karirin030,2021-11-11,374,46789,978,
HamsterDK Ch. 倉鼠迪克,UCuWFODElmfDBH1fl13P3RpA,https://www.youtube.com/@hamsterdkch.,2020-02-11,221,62642,933,晨星與月
水崎初善-369💧【Virtual AI】,UCnb0TdkVTQfFoQzlIRqJIIg,https://www.youtube.com/@-369virtualai8,2020-01-04,112,18860,478,
Gummy Kumamori Ch. 熊森グミ,UCHjjp5JxPVnvqwlSdDBhFQQ,https://www.youtube.com/@gummykumamori,2018-10-23,84,24658,81,
俛冕 Ch. Fumain Asmodeus,UCGLGBYI7mypDIMhgCZq18yA,https://www.youtube.com/@ch.fumainasmodeus,2021-09-09,379,18277,159,
Otozaka yuki ch. 音坂ゆき,UCO1u54JAIDWUo6Gg1BzysAA,https://www.youtube.com/@otozakayuki,2020-09-08,43,819,146,
MK妹 Ch.,UCO62chyehk6pX7OitrnJAUg,https://www.youtube.com/@mkmui,2021-01-27,169,1097107,21400,
明天哪哈AshitaNaha Ch.,UCuWru04Jg6G3bFkCgL8IRtQ,https://www.youtube.com/@ashitanahach.8976,2020-11-20,180,16675,390,
洛歐Lowo Ch.,UC5Lp0P4WVrdlf0WNe-hs-8g,https://www.youtube.com/@lowovtuber,2022-09-05,2,106,25,
[HK Vtuber食人花]ピラニア梨々花Pirania Ririka,UCCmxuNQZDsFKWaH2W1ipTxQ,https://www.youtube.com/@hkvtuberpiraniaririka4692,2021-05-05,51,14485,281,
多多栗茲 ch.,UCACIOQS4YTdBH11UjizdtEQ,https://www.youtube.com/@dodolizz0905,2022-09-07,128,17350,608,
星星君,UCpMR78iRYK9rq248iYjaLhA,https://www.youtube.com/@user-gy6dc7bg4r,2022-06-21,3,223,42,
楓兔,UCfDLgs__da854wpp_7CIa8w,https://www.youtube.com/@user-gy2tt4wi1p,2021-09-16,29,2345,180,
冬雪桜,UCxCXWzeG80_VbhneNXIcKIg,https://www.youtube.com/@fuyukisakura,2012-10-05,101,634108,962,
PINK - 狐ピンク,UCRRWbnJl4nfN-ylsZom8BCQ,https://www.youtube.com/@kitsunepink,2021-10-12,9,9379,667,
須多夜花·ヨルカ ch.,UCuy-kZJ7HWwUU-eKv0zUZFQ,https://www.youtube.com/@sudayoruka,2021-03-01,643,1506222,31800,RenewLive
星羽凜奈 StarFeather LinNai,UCaNnhBWee5NCP-nqnEPNUyw,https://www.youtube.com/@starfeatherlinnai,2019-06-30,714,48859,1010,
二少 Ch.,UCZr_oydOwoOwXED2Qye4A3g,https://www.youtube.com/@ershau,2021-04-26,172,33195,1220,
里歐 賀拉斯 ch. Leo Horace,UCOc3mIfLYyXQeQ1Txtp_wKA,https://www.youtube.com/@ch.leohorace1576,2021-10-30,159,14528,434,托帕酒館
根墨 • ムラ ch.,UCIU9KgQbf9W3G6FhS-wSqsQ,https://www.youtube.com/@genmomura,2021-07-28,169,25948,758,
眠比Mendy,UCreqWzYsN4Kklc6vHEc6-xQ,https://www.youtube.com/@mendydrowsy,2022-05-25,96,2087,88,
貝兒雞雞,UC_ZWbMLXrVWQngdyRZuadHQ,https://www.youtube.com/@yedda970,2019-03-08,105,42556,446,
瀰婭ミア MiaMya,UCIR0USMXU0r7N8spBJHNA7A,https://www.youtube.com/@miamya,2019-08-23,372,399231,10200,
殷緋 -Yin Fei Ch.,UCaKCNIJID8zaXOZYCxjW3Yg,https://www.youtube.com/@yinfeifeifei,2020-10-16,473,114588,1870,ENDlive
艾菈絲EihrazVT-channel,UC1MAF6nTlnau2M_4GAg9fig,https://www.youtube.com/@eihrazvtchannel,2019-04-28,68,1559,177,
基利斯 Karit ch.,UCkJMzg5-cAMeXsrHPSJKL2w,https://www.youtube.com/@karit.0920,2022-03-18,37,1122,154,
Sakumiii 桜祀,UC9MnaLhuAiXXOna1M6J7Pew,https://www.youtube.com/@sakumiii2031,2021-01-03,102,3165,22,
末代磷 Rinnn Ch.,UCkB-9YiqZp1IJIuNnRJWVQQ,https://www.youtube.com/@rinnnch0910,2021-07-11,118,12218,586,
土芒果社-坊冬,UCLVIxrXH6oWTcrT1-2C8x3A,https://www.youtube.com/@user-ep5jv6nv8w,2021-03-21,91,16727,517,土芒果社
Runa Ch. 魔海ルナ,UCOf-zm2kuWGdf00DUX9B9Ag,https://www.youtube.com/@runach.3873,2021-09-23,149,94249,3860,波塔學院
TOMOE 明石巴,UCn7yLE-mf2l7Xhj5MwdZNNA,https://www.youtube.com/@tomoeakashi,2020-03-17,177,213820,5150,小倉電子企業社
Hoonie friends,UC6s0wLR0TZauzTVoGGw2r6g,https://www.youtube.com/@yahootwhooniefriends,2017-07-06,650,2117206,50600,YahooTV
Kohara Shiori ch. 小原栞ㄎㄢ,UCT1MvSNzIB-w6YhIQ9_-yow,https://www.youtube.com/@koharashiorich,2021-09-08,334,427430,6800,UMiLive
Seikan Iris ch.星間菖蒲＆紙野愛理?,UCzL1z9Mnr9Oba5ZjAqfa3lw,https://www.youtube.com/@seikanirisch.3270,2021-07-15,514,213111,5440,FLOS
姬德月兔_Official,UCQ7LEl1uXMrpG21y8A1H3aA,https://www.youtube.com/@kidusagi_official,2021-02-18,226,77050,2830,
Komori Komodo Ch.,UCCWuAGcVcwD5TJTIbs8p25Q,https://www.youtube.com/@komorikomodo,2021-10-11,324,84991,1750,
雪城ユミ Yukishiro Yumi ,UCaccR0UUIY7XUNQNqT6jIAQ,https://www.youtube.com/@yukishiroyumi0820,2022-05-30,67,9220,629,
黑鄉羊 Channel,UCu1aAYNDCh42pwNHVd_rprA,https://www.youtube.com/@blackgoat0810,2021-01-23,409,297383,3930,
永生者蜜莉絲,UCjZornPnocmD7L5u7cdK-gg,https://www.youtube.com/@user-dh6co2no1u,2021-06-20,11,3910,257,
Akiko ch. 暁瑚あきこ【Vtuber】,UC0moEaUSsgYaKvgGMBuOQzQ,https://www.youtube.com/@akikomajo,2021-07-18,73,5110,213,
莉可蘿 Likelo,UCGzUku9i3U4EdfDTn9QQX9w,https://www.youtube.com/@likelo7699,2021-07-19,76,9511,426,AsokO
麻曙君君 Mochi Kyun Ch. ,UC5O_LE0pl4S2LqTZA3pjwCw,https://www.youtube.com/@mochikyunkyun,2022-05-16,79,8396,190,
異界郵差Dusty Ch.,UCSdSravfbMOXL_Yxri1RBew,https://www.youtube.com/@dustypostie,2021-03-21,142,15974,644,
森森鈴蘭 / Lily Linglan【箱箱The Box所屬】,UC3ZTQ8VZVCpwLHjFKSFe5Uw,https://www.youtube.com/@lilylinglan,2022-08-28,145,7161835,142000,箱箱The Box
狐姉るな Kitsuneeruna Ch.,UCX4XqTJo-H3z8x_eGyGorIA,https://www.youtube.com/@kitsuneeruna_yt,2023-02-05,7,564,73,
Ian Tips,UC1zMLyyOd74oJlioTYf-zww,https://www.youtube.com/@iantips3181,2021-01-18,1,62,37,
龍妹的窩 TWvtuber,UCdEuaroNsKxiUOPoBumnJ_g,https://www.youtube.com/@twvtuber9167,2020-08-27,54,41048,1380,超異界通信+
Balaen Leviathan Ch. 巴蘭利維坦,UCUxIkkVP4EIIPhF8M1KRBjw,https://www.youtube.com/@balaen_vtuber,2021-06-01,241,651521,11300,MLNAM
可樂月月 ColaMoon Ch.,UCcXogpVnU_WPK7a66nFM01Q,https://www.youtube.com/@colamoonie,2022-05-30,169,63494,2090,VOICEMITH
Cross Ch. 月島クロス【HKVTuber】,UC5bhpsL8ZUHQ9q-HOLVc82A,https://www.youtube.com/@tksmcross,2020-12-22,290,298599,5210,
奧蘭多 Orlendo_Knight ch.,UCryf9MTmyb42X7e27-SWGbA,https://www.youtube.com/@orlendo_knight,2022-06-23,34,1325,83,
詩寇蒂-Skuld Noren-,UCfoCsKaDYYnsuhy5LWIlajA,https://www.youtube.com/@skuldnoren,2022-09-12,74,50417,4210,星軌工作室
Uruka Ch. 藤倉ウルカ 【Phase Connect】,UCjXJYPsKxoJyc-1RPB6dSyw,https://www.youtube.com/@fujikurauruka,2021-04-03,362,1627189,44100,Phase-Connect
Hishiki Murasaki,UChQBSXLySAXLGzNQ5DUSFww,https://www.youtube.com/@hishikimurasaki,2022-08-03,21,529,43,
Suraimu Xeno Ch.,UCpZzF7Qr5lOMHJTM1sh2rbw,https://www.youtube.com/@suraimuxeno,2021-02-17,58,2884,98,
渡鳥 Ch.,UCVGxq7a6OZybIJXr7VNthQw,https://www.youtube.com/@dubird_d,2021-10-21,89,11675,549,
雅漾茿奈 yayang ch,UCM2zXSgojFFPlKIZo5kjA8w,https://www.youtube.com/@yayangch7627,2021-06-06,2,180,4,
如月七海Nanami ch.,UCk1hW3KURuL_zS_3TIY7xhQ,https://www.youtube.com/@nanami77733,2022-10-02,20,1617,170,
花花はな,UCtlKvOrkEtQ2qLtyc7vSu3A,https://www.youtube.com/@user-ey3pw9wg5h,2015-06-09,100,465982,8570,FahonLive
YiLi AnNa Ch.伊莉安娜,UCyjkZPeg3jpQXt0-Dq4FgjQ,https://www.youtube.com/@yiliannach.3428,2021-12-12,97,33060,865,晝宇工作室
Torako Ch. 大合虎子,UCbeVJYbz9TkCdqRH6nuqTZA,https://www.youtube.com/@yahootwtaigatorako,2022-10-08,66,226686,17400,YahooTV
影川玥,UCOtGx57BZbh5rxrolKBCMpg,https://www.youtube.com/@kakeshiwamoe,2022-08-17,17,3288,121,
淺野薰ch.,UCTSp-in7czGYl-rcy1zlNzA,https://www.youtube.com/@kaorukakoii,2021-12-18,107,24563,1530,
初雨夜夜子,UCSsCir-whUhn8WoW6nKfgjw,https://www.youtube.com/@drizzlingnight,2018-10-29,26,12634,119,
墨雪道恩,UCSk-4mdXj3_PNLQfymWzeSw,https://www.youtube.com/@user-qf8jm3cz5o,2022-05-08,4,295,23,
♫蘿姆♫    ロム / Rom,UCoAazyPiWP0BuuS45w_UV9Q,https://www.youtube.com/@rom-2378,2011-12-17,141,2613,60,
Haru Ch. 時勘晴的裁衣鋪,UCxn2fgZlQQnzjRFPu2zd2TA,https://www.youtube.com/@jikanharu,2021-04-29,303,23322,618,鎮魂鐘
月夜 見 Tsukiyomi Ch.,UC7S1owjW4OhkuwxGzfV9CSQ,https://www.youtube.com/@tsukiyomivt.,2016-06-09,22,632,86,
Keru Ch. 希琉 柏洛斯【innoneer.TV】,UCquUhsuO0mYEcgYWhTBJnZQ,https://www.youtube.com/@keruberosch,2021-05-15,216,61795,1820,
莉莉姆-Ririmu Séraphin Lucifer-,UC8XxcedKN6MbDBw4j-hSpng,https://www.youtube.com/@-ririmuseraphinlucifer-8205,2022-09-17,87,71094,3810,星軌工作室
W ch. 神光ダブル,UCZ9sOsn_0JGfPfMiXsNZorA,https://www.youtube.com/@winter4t2h,2014-07-06,66,111910,428,GAN Entertainment
Bacon蛋面,UCYS6HuM9L9FViwkx8NTVDIg,https://www.youtube.com/@bacon6784,2021-04-17,5,377,59,DailouLive
"林雅婷 ch. Lin, Yating",UCZ0Pxw5z9Ly7D6ICpOK3q9w,https://www.youtube.com/@lin_yating,2022-04-04,112,5017,437,
